marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range
Suzuki,Bolan,2019,60700.0,1375000,Gasolina,Original,Nacional,Manual,5,3
Honda,City IVTEC,2021,29400.0,4050000,Gasolina,Original,Nacional,Manual,6,1
Daihatsu,Cuore,2007,245128.0,780000,Gasolina,Original,Nacional,Manual,2,10
Honda,City Vario,2005,223000.0,1725000,Gasolina,Original,Nacional,Automatic,2,8
Suzuki,Ravi,2005,100000.0,290000,Gasolina,Original,Importado,Manual,2,4
Suzuki,Bolan,2008,55000.0,720000,GNV,Original,Importado,Manual,2,2
Suzuki,Bolan,2009,91000.0,950000,Gasolina,Original,Nacional,Manual,3,4
Daihatsu,Mira,2015,70000.0,1920000,Gasolina,Original,Importado,Automatic,4,3
Hyundai,Santro,2006,153000.0,950000,Gasolina,Original,Importado,Manual,2,6
Suzuki,Mehran VXR,2006,123456.0,499999,Gasolina,Original,Nacional,Manual,2,5
Hyundai,Santro,2003,194857.0,720000,Gasolina,Original,Nacional,Manual,1,7
Suzuki,Swift,2021,41000.0,3350000,Gasolina,Original,Nacional,Automatic,6,2
Suzuki,Mehran VXR,2006,100000.0,500000,Gasolina,Original,Nacional,Manual,2,4
Honda,City IVTEC,2017,160000.0,3300000,Gasolina,Original,Nacional,Manual,5,6
Honda,Civic Oriel,2005,130000.0,1575000,Gasolina,Original,Importado,Manual,2,5
Hyundai,Santro,2005,120000.0,985000,Gasolina,Original,Nacional,Manual,2,4
Toyota,Corolla GLI,2018,66000.0,4250000,Gasolina,Original,Nacional,Manual,5,3
Suzuki,Swift,2013,110000.0,1590000,Gasolina,Original,Nacional,Manual,4,4
Suzuki,Bolan,2017,58000.0,1099000,Gasolina,Original,Nacional,Manual,5,2
Suzuki,Alto,2021,22000.0,2370000,Gasolina,Original,Nacional,Manual,6,1
Mitsubishi,Lancer,2005,139000.0,1350000,Gasolina,Original,Importado,Automatic,2,5
Suzuki,Mehran VXR,2017,78000.0,1115000,Gasolina,Original,Nacional,Manual,5,3
Toyota,Altis Grande,2018,71500.0,4900000,Gasolina,Original,Nacional,Automatic,5,3
Toyota,Passo,2006,90000.0,1590000,Gasolina,Original,Importado,Automatic,2,3
Toyota,Yaris,2021,36000.0,3800000,Gasolina,Original,Nacional,Manual,6,2
Mitsubishi,Minicab Bravo,2013,90000.0,1050000,Gasolina,Original,Importado,Manual,4,3
Suzuki,Alto,2017,48000.0,2800000,Gasolina,Original,Importado,Automatic,5,2
Suzuki,Bolan,2001,76240.0,550000,Gasolina,Original,Importado,Manual,1,3
Honda,City IVTEC,2022,3700.0,4600000,Gasolina,Original,Nacional,Automatic,6,1
Suzuki,Mehran VXR,2008,40000.0,530000,Gasolina,Original,Nacional,Manual,2,2
Daihatsu,Cuore,2007,100000.0,735000,Gasolina,Original,Nacional,Manual,2,4
Honda,City Vario,2004,108000.0,1400000,Gasolina,Original,Nacional,Automatic,1,4
Hyundai,Santro,2008,111000.0,965000,Gasolina,Original,Nacional,Manual,2,4
Suzuki,Alto,2010,178526.0,1000000,GNV,Original,Nacional,Manual,3,6
Daihatsu,Cuore,2005,300000.0,580000,Gasolina,Original,Importado,Manual,2,10
Suzuki,Alto,2020,40500.0,2525000,Gasolina,Original,Nacional,Automatic,5,2
Toyota,Yaris,2020,48000.0,4175000,Gasolina,Original,Nacional,Automatic,5,2
Daihatsu,Mira,2010,109621.0,1660000,Gasolina,Original,Importado,Automatic,3,4
Hyundai,Santro,2004,186000.0,1275000,Gasolina,Original,Nacional,Manual,1,7
Toyota,Yaris,2020,36000.0,4500000,Gasolina,Original,Nacional,Automatic,5,2
Honda,City IVTEC,2010,165000.0,2325000,Gasolina,Original,Nacional,Manual,3,6
Honda,Civic Prosmetic,2007,142000.0,1790000,Gasolina,Original,Nacional,Automatic,2,5
Honda,Civic Prosmetic,2008,130741.0,1740000,Gasolina,Original,Nacional,Automatic,2,5
Honda,City IVTEC,2017,58000.0,3480000,Gasolina,Original,Nacional,Manual,5,2
Honda,City IVTEC,2016,53600.0,3800000,Gasolina,Original,Nacional,Automatic,4,2
Honda,City IDSI,2008,200000.0,1620000,Gasolina,Original,Nacional,Manual,2,7
Honda,City IDSI,2003,12345.0,1315000,Gasolina,Original,Nacional,Automatic,1,1
Chevrolet,Joy,2006,1234.0,625000,Gasolina,Original,Importado,Manual,2,1
Suzuki,Wagon R,2019,110000.0,2450000,Gasolina,Original,Nacional,Manual,5,4
Suzuki,Bolan,2017,65000.0,1350000,Gasolina,Original,Nacional,Manual,5,3
Toyota,Corolla GLI,2011,120000.0,2860000,Gasolina,Original,Nacional,Manual,3,4
Suzuki,Wagon R,2021,47000.0,2600000,Gasolina,Original,Nacional,Manual,6,2
Hyundai,Santro,2001,10000.0,745000,Gasolina,Original,Importado,Manual,1,1
Suzuki,Wagon R,2018,119000.0,1900000,Gasolina,Original,Nacional,Manual,5,4
Daihatsu,Cuore,2008,1234.0,695000,Gasolina,Original,Nacional,Manual,2,1
Suzuki,Wagon R,2016,50000.0,1800000,Gasolina,Original,Nacional,Manual,4,2
Hyundai,Santro,2006,75000.0,847000,Gasolina,Original,Nacional,Manual,2,3
Mercedes,E Class,2002,80000.0,3500000,Gasolina,Original,Importado,Automatic,1,3
Honda,City IDSI,2005,100500.0,1475000,Gasolina,Original,Nacional,Manual,2,4
Daihatsu,Mira,2018,99000.0,2340000,Gasolina,Original,Importado,Automatic,5,4
Daihatsu,Mira,2014,100000.0,2050000,Gasolina,Original,Importado,Automatic,4,4
Daihatsu,Cuore,2007,95000.0,650000,Gasolina,Original,Nacional,Manual,2,4
Changan,Alsvin,2021,21600.0,3500000,Gasolina,Original,Nacional,Manual,6,1
Toyota,Passo,2007,210000.0,1840000,Gasolina,Original,Importado,Automatic,2,7
Toyota,Corolla XLI,2011,150000.0,2375000,Gasolina,Original,Nacional,Manual,3,5
Suzuki,Baleno,2003,100000.0,870000,Gasolina,Original,Nacional,Manual,1,4
Hyundai,Santro,2007,169500.0,895000,Gasolina,Original,Nacional,Manual,2,6
Suzuki,Bolan,2018,12345.0,1280000,Gasolina,Original,Nacional,Manual,5,1
Toyota,Corrolla Altis,2015,145000.0,3400000,Gasolina,Original,Nacional,Automatic,4,5
Suzuki,Swift,2017,71000.0,2200000,Gasolina,Original,Nacional,Manual,5,3
Toyota,Passo,2020,18830.0,4300000,Gasolina,Original,Importado,Automatic,5,1
Honda,Civic Oriel,2017,75000.0,4790000,Gasolina,Original,Nacional,Automatic,5,3
Suzuki,Wagon R,2021,21000.0,2729000,Gasolina,Original,Nacional,Manual,6,1
Honda,City IDSI,2006,28005.0,1600000,Gasolina,Original,Nacional,Manual,2,1
Changan,Karvaan,2022,2400.0,2750000,Gasolina,Original,Nacional,Manual,6,1
Toyota,Yaris,2021,32000.0,4700000,Gasolina,Original,Nacional,Automatic,6,2
Suzuki,Mehran VXR,2003,150000.0,550000,GNV,Original,Nacional,Manual,1,5
Suzuki,Cultus VXR,2003,69000.0,825000,Gasolina,Original,Nacional,Manual,1,3
Suzuki,Alto,2014,44000.0,2300000,Gasolina,Original,Importado,Automatic,4,2
Hyundai,Santro,2005,150000.0,775000,Gasolina,Original,Importado,Manual,2,5
KIA,Classic,2002,150000.0,700000,GNV,Original,Importado,Manual,1,5
Mercedes,E Class,2000,159123.0,1875000,Gasolina,Original,Importado,Automatic,1,6
Suzuki,Alto,2008,45000.0,870000,Gasolina,Original,Nacional,Manual,2,2
Honda,Civic Oriel,2017,105000.0,4630000,Gasolina,Original,Nacional,Automatic,5,4
Suzuki,Mehran VXR,2017,60000.0,1200000,Gasolina,Original,Nacional,Manual,5,2
Toyota,Passo,2011,100000.0,2150000,Gasolina,Original,Importado,Automatic,3,4
Toyota,Yaris,2021,45000.0,3750000,Gasolina,Original,Nacional,Automatic,6,2
Suzuki,Bolan,2010,1234.0,980000,GNV,Original,Nacional,Manual,3,1
Suzuki,Bolan,2010,10000.0,640000,Gasolina,Original,Importado,Manual,3,1
Daihatsu,Cuore,2007,150000.0,850000,Gasolina,Original,Nacional,Automatic,2,5
