marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range,faixa_preco,faixa_preco_prevista,valor_estimado
Suzuki,Cultus VXR,2001,100000.0,680000,Gasolina,Original,Nacional,Manual,1,4,Luxo,Luxo,681403.3241134752
Daihatsu,Mira,2018,123456.0,330000,Gasolina,Original,Importado,Automatic,5,5,Premium,Premium,350855.0221465077
Honda,City Aspire,2014,73000.0,285000,Gasolina,Original,Nacional,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
Suzuki,Bolan,2015,102300.0,850000,Gasolina,Original,Nacional,Manual,4,4,Luxo,Luxo,681403.3241134752
Daihatsu,Mira,2017,123456.0,209500,Gasolina,Original,Importado,Automatic,5,5,Intermediário,Intermediário,245657.07356430945
Daihatsu,Mira,2019,17000.0,400000,Gasolina,Original,Importado,Automatic,5,1,Premium,Premium,350855.0221465077
Honda,City Aspire,2001,154126.0,850000,Gasolina,Original,Nacional,Automatic,1,6,Luxo,Luxo,681403.3241134752
Toyota,Corolla GLI,2014,95000.0,290000,Gasolina,Original,Nacional,Manual,4,4,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla GLI,2010,118000.0,270000,Gasolina,Original,Nacional,Manual,3,4,Intermediário,Intermediário,245657.07356430945
FAW,X-PV,2016,169000.0,850000,Gasolina,Original,Nacional,Manual,4,6,Luxo,Luxo,681403.3241134752
Mitsubishi,Lancer,2005,240000.0,146500,GNV,Original,Importado,Automatic,2,10,Econômico,Econômico,149497.18328086744
Suzuki,Bolan,2017,67000.0,140000,Gasolina,Original,Nacional,Manual,5,3,Econômico,Econômico,149497.18328086744
Daihatsu,Mira,2016,115000.0,250000,Gasolina,Original,Importado,Automatic,4,4,Intermediário,Intermediário,245657.07356430945
Mitsubishi,Lancer,2006,212000.0,185000,Gasolina,Original,Importado,Automatic,2,8,Econômico,Econômico,149497.18328086744
Suzuki,Cultus VXR,2003,18000.0,650000,Gasolina,Original,Nacional,Manual,1,1,Luxo,Luxo,681403.3241134752
Honda,City IVTEC,2015,90000.0,299000,Gasolina,Original,Nacional,Manual,4,3,Intermediário,Intermediário,245657.07356430945
Daihatsu,Mira,2013,100000.0,245000,Gasolina,Original,Importado,Automatic,4,4,Intermediário,Intermediário,245657.07356430945
Suzuki,Bolan,2005,22000.0,735000,GNV,Original,Nacional,Manual,2,1,Luxo,Luxo,681403.3241134752
Toyota,Altis Grande,2017,89000.0,475000,Gasolina,Original,Nacional,Automatic,5,3,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2019,63000.0,200000,Gasolina,Original,Nacional,Manual,5,3,Econômico,Econômico,149497.18328086744
Honda,City Aspire,2015,175000.0,325000,Gasolina,Original,Importado,Automatic,4,6,Premium,Premium,350855.0221465077
Daihatsu,Mira,2020,13800.0,335000,Gasolina,Original,Importado,Automatic,5,1,Premium,Premium,350855.0221465077
Toyota,Yaris,2021,45000.0,425000,Gasolina,Original,Nacional,Automatic,6,2,Luxo,Luxo,681403.3241134752
Honda,City IVTEC,2011,101000.0,245000,Gasolina,Original,Nacional,Manual,3,4,Intermediário,Intermediário,245657.07356430945
Daihatsu,Move,2018,75000.0,245000,Gasolina,Original,Importado,Automatic,5,3,Intermediário,Intermediário,245657.07356430945
Suzuki,Alto,2002,2020.0,580000,Gasolina,Original,Nacional,Manual,1,1,Luxo,Luxo,681403.3241134752
Suzuki,Bolan,2015,123456.0,760000,Gasolina,Original,Importado,Manual,4,5,Luxo,Luxo,681403.3241134752
Honda,City IDSI,2005,12345.0,165000,Gasolina,Original,Nacional,Automatic,2,1,Econômico,Econômico,149497.18328086744
Suzuki,Swift,2012,75000.0,145000,Gasolina,Original,Nacional,Manual,3,3,Econômico,Econômico,149497.18328086744
Daihatsu,Mira,2013,68000.0,245000,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla XLI,2016,165000.0,328000,Gasolina,Original,Nacional,Manual,4,6,Premium,Premium,350855.0221465077
Suzuki,Alto,2014,89000.0,230000,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
Changan,Karvaan,2023,20000.0,280000,Gasolina,Original,Nacional,Manual,6,1,Intermediário,Intermediário,245657.07356430945
Suzuki,Baleno,2003,252000.0,105000,Gasolina,Original,Nacional,Manual,1,10,Econômico,Econômico,149497.18328086744
Suzuki,Every,2009,115000.0,128000,Gasolina,Original,Importado,Manual,3,4,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2009,123456.0,128500,Gasolina,Original,Importado,Manual,3,5,Econômico,Econômico,149497.18328086744
Suzuki,Swift,2017,105000.0,242500,Gasolina,Original,Nacional,Automatic,5,4,Intermediário,Intermediário,245657.07356430945
FAW,V2,2015,95000.0,135000,Gasolina,Original,Nacional,Manual,4,4,Econômico,Econômico,149497.18328086744
Suzuki,Cultus VXR,2006,100000.0,655000,Gasolina,Original,Nacional,Manual,2,4,Luxo,Luxo,681403.3241134752
Daihatsu,Cuore,2009,65000.0,125100,Gasolina,Original,Importado,Automatic,3,3,Econômico,Econômico,149497.18328086744
Suzuki,Bolan,2007,78000.0,660000,Gasolina,Original,Nacional,Manual,2,3,Luxo,Luxo,681403.3241134752
Suzuki,Ravi,2022,27500.0,161000,Gasolina,Original,Nacional,Manual,6,1,Econômico,Econômico,149497.18328086744
Suzuki,Wagon R,2018,165000.0,190000,Gasolina,Original,Nacional,Manual,5,6,Econômico,Econômico,149497.18328086744
Honda,Civic Prosmetic,2008,140000.0,320000,Gasolina,Original,Nacional,Automatic,2,5,Premium,Premium,350855.0221465077
Toyota,Corrolla Altis,2018,50000.0,475000,Gasolina,Original,Nacional,Automatic,5,2,Luxo,Luxo,681403.3241134752
Suzuki,Cultus VXR,2012,160000.0,121500,Gasolina,Original,Importado,Manual,3,6,Econômico,Econômico,149497.18328086744
Suzuki,Ravi,2017,28000.0,115000,Gasolina,Original,Nacional,Manual,5,1,Econômico,Econômico,149497.18328086744
Daihatsu,Cuore,2002,10000.0,650000,GNV,Original,Importado,Manual,1,1,Luxo,Luxo,681403.3241134752
Suzuki,Mehran VXR,2014,50000.0,970000,Gasolina,Original,Nacional,Manual,4,2,Luxo,Luxo,681403.3241134752
Toyota,Yaris,2022,27500.0,495000,Gasolina,Original,Nacional,Automatic,6,1,Luxo,Luxo,681403.3241134752
Daihatsu,Hijet,2013,100000.0,124000,Gasolina,Original,Importado,Automatic,4,4,Econômico,Econômico,149497.18328086744
Suzuki,Wagon R,2014,135000.0,188000,Gasolina,Original,Nacional,Manual,4,5,Econômico,Econômico,149497.18328086744
Suzuki,Alto,2020,48000.0,210000,Gasolina,Original,Nacional,Manual,5,2,Intermediário,Intermediário,245657.07356430945
Suzuki,Baleno,2005,185000.0,865000,Gasolina,Original,Nacional,Manual,2,7,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2005,152500.0,137000,Gasolina,Original,Nacional,Automatic,2,6,Econômico,Econômico,149497.18328086744
Toyota,Corolla GLI,2007,123456.0,165000,Gasolina,Original,Importado,Manual,2,5,Econômico,Econômico,149497.18328086744
