marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range,faixa_preco,faixa_preco_prevista,valor_estimado
Honda,City Aspire,2015,58000.0,352500,Gasolina,Original,Nacional,Automatic,4,2,Premium,Premium,350855.0221465077
Suzuki,Bolan,2018,32000.0,135000,Gasolina,Original,Nacional,Manual,5,2,Econômico,Econômico,149497.18328086744
Toyota,Passo,2011,95000.0,245500,Gasolina,Original,Importado,Automatic,3,4,Intermediário,Intermediário,245657.07356430945
Suzuki,Alto,2011,185000.0,108000,Gasolina,Original,Importado,Manual,3,7,Econômico,Econômico,149497.18328086744
Honda,Civic Prosmetic,2005,142000.0,165000,Gasolina,Original,Nacional,Automatic,2,5,Econômico,Econômico,149497.18328086744
Toyota,Passo,2017,71000.0,275000,Gasolina,Original,Importado,Automatic,5,3,Intermediário,Intermediário,245657.07356430945
Daihatsu,Mira,2012,70000.0,188000,Gasolina,Original,Nacional,Automatic,3,3,Econômico,Econômico,149497.18328086744
Daihatsu,Mira,2018,85000.0,325000,Gasolina,Original,Importado,Automatic,5,3,Premium,Premium,350855.0221465077
Honda,City Aspire,2000,178000.0,725000,Gasolina,Original,Nacional,Automatic,1,6,Luxo,Luxo,681403.3241134752
Daihatsu,Hijet,2016,80000.0,140000,Gasolina,Original,Importado,Automatic,4,3,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2002,222222.0,750000,Gasolina,Original,Importado,Manual,1,8,Luxo,Luxo,681403.3241134752
Toyota,Altis Grande,2017,110000.0,460000,Gasolina,Original,Importado,Automatic,5,4,Luxo,Luxo,681403.3241134752
Suzuki,Mehran VXR,2018,66000.0,128000,Gasolina,Original,Importado,Manual,5,3,Econômico,Econômico,149497.18328086744
Honda,City IVTEC,2018,73000.0,317500,Gasolina,Original,Nacional,Manual,5,3,Premium,Premium,350855.0221465077
KIA,Picanto,2020,34000.0,260000,Gasolina,Original,Nacional,Automatic,5,2,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla GLI,2007,300000.0,185000,Gasolina,Original,Nacional,Manual,2,10,Econômico,Econômico,149497.18328086744
Suzuki,Cultus VXR,2015,78000.0,129000,Gasolina,Original,Nacional,Manual,4,3,Econômico,Econômico,149497.18328086744
Toyota,Altis Grande,2015,80000.0,370000,Gasolina,Original,Nacional,Automatic,4,3,Premium,Premium,350855.0221465077
Suzuki,Bolan,2018,60000.0,128000,Gasolina,Original,Nacional,Manual,5,2,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2019,34000.0,155000,Gasolina,Original,Nacional,Manual,5,2,Econômico,Econômico,149497.18328086744
Daihatsu,Hijet,2013,90536.0,145000,Gasolina,Original,Importado,Automatic,4,4,Econômico,Econômico,149497.18328086744
Suzuki,Bolan,2019,123456.0,175000,Gasolina,Original,Nacional,Manual,5,5,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2005,234390.0,930000,Gasolina,Original,Importado,Manual,2,10,Luxo,Luxo,681403.3241134752
Honda,City IDSI,2011,150000.0,250000,Gasolina,Original,Importado,Automatic,3,5,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla GLI,2014,90500.0,255000,Gasolina,Original,Nacional,Manual,4,4,Intermediário,Intermediário,245657.07356430945
Hyundai,Santro,2005,133000.0,850000,Gasolina,Original,Nacional,Manual,2,5,Luxo,Luxo,681403.3241134752
Honda,City IDSI,2007,230000.0,158000,Gasolina,Original,Nacional,Manual,2,10,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2007,100000.0,103500,Gasolina,Original,Nacional,Manual,2,4,Econômico,Luxo,681403.3241134752
Toyota,Passo,2018,60000.0,355000,Gasolina,Original,Importado,Automatic,5,2,Premium,Premium,350855.0221465077
Honda,City IVTEC,2010,74000.0,234500,Gasolina,Original,Importado,Automatic,3,3,Intermediário,Intermediário,245657.07356430945
Suzuki,Cultus VXR,2019,34000.0,235000,Gasolina,Original,Nacional,Manual,5,2,Intermediário,Intermediário,245657.07356430945
Honda,Civic Prosmetic,2015,128000.0,315000,Gasolina,Original,Nacional,Automatic,4,5,Premium,Premium,350855.0221465077
Daihatsu,Cuore,2009,14000.0,949999,Gasolina,Original,Nacional,Manual,3,1,Luxo,Luxo,681403.3241134752
Toyota,Yaris,2021,26000.0,427500,Gasolina,Original,Nacional,Automatic,6,1,Luxo,Luxo,681403.3241134752
Honda,City IDSI,2008,190000.0,203000,Gasolina,Original,Nacional,Manual,2,7,Intermediário,Intermediário,245657.07356430945
Honda,City Aspire,2021,49000.0,345000,Gasolina,Original,Nacional,Manual,6,2,Premium,Premium,350855.0221465077
Suzuki,Every,2008,45698.0,135000,GNV,Original,Importado,Automatic,2,2,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2007,235900.0,940000,Gasolina,Original,Importado,Manual,2,10,Luxo,Luxo,681403.3241134752
Toyota,Corolla XLI,2015,12345.0,277500,Gasolina,Original,Nacional,Manual,4,1,Intermediário,Intermediário,245657.07356430945
Honda,City IVTEC,2018,65000.0,365000,Gasolina,Original,Nacional,Automatic,5,3,Premium,Premium,350855.0221465077
Daihatsu,Cuore,2006,50000.0,620000,Gasolina,Original,Nacional,Manual,2,2,Luxo,Luxo,681403.3241134752
Honda,City IVTEC,2020,70000.0,382500,Gasolina,Original,Nacional,Automatic,5,3,Premium,Premium,350855.0221465077
Honda,Civic Oriel,2013,134000.0,270000,Gasolina,Original,Nacional,Manual,4,5,Intermediário,Intermediário,245657.07356430945
Toyota,Yaris,2022,58000.0,465000,Gasolina,Original,Nacional,Automatic,6,2,Luxo,Luxo,681403.3241134752
Suzuki,Mehran VXR,2017,37000.0,126000,Gasolina,Original,Nacional,Manual,5,2,Econômico,Econômico,149497.18328086744
Toyota,Corolla GLI,2016,70000.0,339000,Gasolina,Original,Nacional,Manual,4,3,Premium,Premium,350855.0221465077
Suzuki,Bolan,2021,8500.0,170000,Gasolina,Original,Nacional,Manual,6,1,Econômico,Econômico,149497.18328086744
Suzuki,Bolan,2022,7500.0,195000,Gasolina,Original,Nacional,Manual,6,1,Econômico,Econômico,149497.18328086744
Suzuki,Cultus VXR,2017,85788.0,156500,Gasolina,Original,Nacional,Manual,5,3,Econômico,Econômico,149497.18328086744
Suzuki,Swift,2010,254000.0,158000,Gasolina,Duplicate,Nacional,Manual,3,10,Econômico,Econômico,149497.18328086744
Suzuki,Swift,2013,217050.0,170000,Gasolina,Original,Nacional,Manual,4,8,Econômico,Econômico,149497.18328086744
Toyota,Corolla GLI,2016,98000.0,350000,Gasolina,Original,Nacional,Manual,4,4,Premium,Premium,350855.0221465077
Mitsubishi,Lancer,2007,200000.0,160000,Gasolina,Original,Importado,Manual,2,7,Econômico,Econômico,149497.18328086744
Toyota,Corolla GLI,2012,110000.0,260000,Gasolina,Original,Nacional,Manual,3,4,Intermediário,Intermediário,245657.07356430945
Chevrolet,Joy,2006,85000.0,725000,Gasolina,Original,Importado,Manual,2,3,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2005,150000.0,140000,Gasolina,Original,Nacional,Automatic,2,5,Econômico,Econômico,149497.18328086744
Honda,Civic Prosmetic,2014,113000.0,362500,Gasolina,Original,Nacional,Automatic,4,4,Premium,Premium,350855.0221465077
Daihatsu,Cuore,2007,99999.0,650000,Gasolina,Original,Importado,Manual,2,4,Luxo,Luxo,681403.3241134752
Hyundai,Santro,2000,100000.0,550000,Gasolina,Original,Nacional,Manual,1,4,Luxo,Luxo,681403.3241134752
Toyota,Passo,2013,81000.0,227500,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
Hyundai,Santro,2006,1234.0,900000,Gasolina,Original,Importado,Manual,2,1,Luxo,Luxo,681403.3241134752
Suzuki,Swift,2014,167000.0,200000,Gasolina,Original,Nacional,Manual,4,6,Econômico,Econômico,149497.18328086744
Honda,City IVTEC,2018,68000.0,350000,Gasolina,Original,Nacional,Manual,5,3,Premium,Premium,350855.0221465077
KIA,Classic,2003,152000.0,470000,Gasolina,Original,Importado,Manual,1,6,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2002,150000.0,130000,Gasolina,Original,Nacional,Automatic,1,5,Econômico,Econômico,149497.18328086744
Daihatsu,Mira,2017,60000.0,297500,Gasolina,Original,Importado,Automatic,5,2,Intermediário,Intermediário,245657.07356430945
Suzuki,Bolan,2012,123456.0,600000,Gasolina,Original,Nacional,Manual,3,5,Luxo,Luxo,681403.3241134752
Honda,City Vario,2006,164000.0,205000,Gasolina,Original,Nacional,Automatic,2,6,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla GLI,2011,123456.0,218000,Gasolina,Original,Nacional,Manual,3,5,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla XLI,2016,69000.0,315000,Gasolina,Original,Nacional,Manual,4,3,Premium,Premium,350855.0221465077
Toyota,Corolla GLI,2019,49000.0,470000,Gasolina,Original,Nacional,Automatic,5,2,Luxo,Luxo,681403.3241134752
Toyota,Corolla GLI,2020,91500.0,469000,Gasolina,Original,Nacional,Manual,5,4,Luxo,Luxo,681403.3241134752
Daihatsu,Hijet,2012,94000.0,156000,Gasolina,Original,Importado,Automatic,3,4,Econômico,Econômico,149497.18328086744
Daihatsu,Cuore,2008,152000.0,880000,Gasolina,Original,Nacional,Manual,2,6,Luxo,Luxo,681403.3241134752
KIA,Picanto,2020,15300.0,282500,Gasolina,Original,Importado,Automatic,5,1,Intermediário,Intermediário,245657.07356430945
Hyundai,Santro,2003,1000.0,900000,Gasolina,Original,Importado,Automatic,1,1,Luxo,Luxo,681403.3241134752
Changan,Alsvin,2022,16500.0,390000,Gasolina,Original,Nacional,Automatic,6,1,Premium,Premium,350855.0221465077
Mitsubishi,Minica,2017,170000.0,150000,Gasolina,Original,Importado,Automatic,5,6,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2003,1000.0,470000,Gasolina,Original,Importado,Manual,1,1,Luxo,Luxo,681403.3241134752
Suzuki,Mehran VXR,2017,50000.0,117000,Gasolina,Original,Nacional,Manual,5,2,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2006,100000.0,575000,Gasolina,Original,Nacional,Manual,2,4,Luxo,Luxo,681403.3241134752
Suzuki,Bolan,2020,2000.0,150000,Gasolina,Original,Nacional,Manual,5,1,Econômico,Econômico,149497.18328086744
KIA,Sportage,2002,111111.0,140000,Gasolina,Original,Nacional,Automatic,1,4,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2005,110880.0,895000,Gasolina,Original,Nacional,Manual,2,4,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2005,179585.0,146000,Gasolina,Original,Nacional,Automatic,2,6,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2009,81512.0,750000,Gasolina,Original,Nacional,Manual,3,3,Luxo,Luxo,681403.3241134752
Suzuki,Swift,2017,106000.0,223000,Gasolina,Original,Nacional,Manual,5,4,Intermediário,Intermediário,245657.07356430945
Honda,City Aspire,2019,27000.0,450000,Gasolina,Original,Nacional,Automatic,5,1,Luxo,Luxo,681403.3241134752
Toyota,Passo,2008,107200.0,205000,Gasolina,Original,Importado,Automatic,2,4,Intermediário,Intermediário,245657.07356430945
Suzuki,Wagon R,2023,17500.0,335000,Gasolina,Original,Importado,Automatic,6,1,Premium,Premium,350855.0221465077
Daihatsu,Mira,2012,195000.0,189000,Gasolina,Original,Importado,Automatic,3,7,Econômico,Econômico,149497.18328086744
Daihatsu,Cuore,2007,99628.0,995000,Gasolina,Original,Nacional,Manual,2,4,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2016,95000.0,429000,Gasolina,Original,Nacional,Automatic,4,4,Luxo,Luxo,681403.3241134752
Changan,Alsvin,2021,38000.0,374000,Gasolina,Original,Nacional,Automatic,6,2,Premium,Premium,350855.0221465077
Daihatsu,Hijet,2013,12345.0,149000,Gasolina,Original,Importado,Automatic,4,1,Econômico,Econômico,149497.18328086744
Honda,City IVTEC,2021,60000.0,430000,Gasolina,Original,Importado,Manual,6,2,Luxo,Luxo,681403.3241134752
Daihatsu,Mira,2014,45000.0,215000,Gasolina,Original,Importado,Automatic,4,2,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla GLI,2009,130500.0,180000,Gasolina,Original,Nacional,Manual,3,5,Econômico,Econômico,149497.18328086744
Chevrolet,Exclusive,2004,112345.0,570000,Gasolina,Original,Importado,Manual,1,4,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2010,77000.0,810000,GNV,Original,Nacional,Manual,3,3,Luxo,Luxo,681403.3241134752
Hyundai,Santro,2004,123456.0,625000,Gasolina,Original,Importado,Manual,1,5,Luxo,Luxo,681403.3241134752
Toyota,Passo,2018,40000.0,325000,Gasolina,Original,Importado,Automatic,5,2,Premium,Premium,350855.0221465077
Toyota,Corolla XLI,2008,85000.0,154000,GNV,Original,Nacional,Manual,2,3,Econômico,Econômico,149497.18328086744
Daihatsu,Terios Kid,2004,130000.0,167000,Gasolina,Original,Importado,Automatic,1,5,Econômico,Econômico,149497.18328086744
Suzuki,Bolan,2015,94000.0,845000,Gasolina,Original,Nacional,Manual,4,4,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2007,109000.0,110000,Gasolina,Original,Nacional,Manual,2,4,Econômico,Econômico,149497.18328086744
Changan,Karvaan,2020,15000.0,250000,Gasolina,Original,Nacional,Manual,5,1,Intermediário,Intermediário,245657.07356430945
Daihatsu,Cuore,2003,170000.0,820000,Gasolina,Original,Importado,Manual,1,6,Luxo,Luxo,681403.3241134752
Toyota,Yaris,2020,65000.0,450000,Gasolina,Original,Nacional,Automatic,5,3,Luxo,Luxo,681403.3241134752
Honda,City Aspire,2017,55000.0,325000,Gasolina,Original,Nacional,Manual,5,2,Premium,Premium,350855.0221465077
Honda,City IVTEC,2015,135000.0,265000,Gasolina,Original,Nacional,Manual,4,5,Intermediário,Intermediário,245657.07356430945
Honda,City Vario,2006,96000.0,227000,Gasolina,Original,Importado,Automatic,2,4,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla XLI,2015,10000.0,315000,Gasolina,Original,Importado,Manual,4,1,Premium,Premium,350855.0221465077
Honda,City IVTEC,2018,40000.0,370000,Gasolina,Original,Nacional,Manual,5,2,Premium,Premium,350855.0221465077
Suzuki,Mehran VXR,2007,150000.0,650000,Gasolina,Original,Nacional,Manual,2,5,Luxo,Luxo,681403.3241134752
Suzuki,Bolan,2008,100000.0,950000,Gasolina,Original,Importado,Manual,2,4,Luxo,Luxo,681403.3241134752
Daihatsu,Cuore,2007,100000.0,117000,GNV,Original,Nacional,Manual,2,4,Econômico,Luxo,681403.3241134752
Suzuki,Alto,2019,42000.0,245000,Gasolina,Original,Nacional,Automatic,5,2,Intermediário,Intermediário,245657.07356430945
Daihatsu,Cuore,2010,80000.0,125000,Gasolina,Original,Nacional,Manual,3,3,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2003,90000.0,420000,Gasolina,Original,Nacional,Manual,1,3,Luxo,Luxo,681403.3241134752
Toyota,Passo,2006,65000.0,157500,Gasolina,Duplicate,Importado,Automatic,2,3,Econômico,Econômico,149497.18328086744
Suzuki,Every,2010,87600.0,139500,Gasolina,Original,Importado,Manual,3,3,Econômico,Econômico,149497.18328086744
Suzuki,Wagon R,2014,157000.0,235000,Gasolina,Original,Importado,Automatic,4,6,Intermediário,Intermediário,245657.07356430945
Suzuki,Wagon R,2019,88263.0,212500,Gasolina,Original,Importado,Manual,5,3,Intermediário,Intermediário,245657.07356430945
Changan,Alsvin,2022,12000.0,430000,Gasolina,Original,Importado,Automatic,6,1,Luxo,Luxo,681403.3241134752
Hyundai,Santro,2007,135000.0,920000,Gasolina,Original,Nacional,Manual,2,5,Luxo,Luxo,681403.3241134752
Honda,City Aspire,2017,63000.0,339000,Gasolina,Original,Nacional,Automatic,5,3,Premium,Premium,350855.0221465077
Toyota,Altis Grande,2016,180000.0,432500,Gasolina,Original,Nacional,Automatic,4,6,Luxo,Luxo,681403.3241134752
Mitsubishi,Lancer,2005,250388.0,170000,Gasolina,Original,Nacional,Manual,2,10,Econômico,Econômico,149497.18328086744
Daihatsu,Cuore,2008,134000.0,665000,Gasolina,Original,Nacional,Manual,2,5,Luxo,Luxo,681403.3241134752
Honda,City Aspire,2014,130000.0,245000,Gasolina,Original,Nacional,Manual,4,5,Intermediário,Intermediário,245657.07356430945
Honda,City Vario,2005,11111.0,148000,Gasolina,Original,Importado,Automatic,2,1,Econômico,Econômico,149497.18328086744
Mitsubishi,Ek Wagon,2007,170000.0,160000,Gasolina,Original,Importado,Automatic,2,6,Econômico,Econômico,149497.18328086744
Honda,City Vario,2000,10000.0,750000,Gasolina,Original,Nacional,Manual,1,1,Luxo,Luxo,681403.3241134752
Toyota,Altis Grande,2016,117000.0,475000,Gasolina,Original,Nacional,Automatic,4,4,Luxo,Luxo,681403.3241134752
Daihatsu,Cuore,2006,65000.0,795000,Gasolina,Original,Nacional,Manual,2,3,Luxo,Luxo,681403.3241134752
Toyota,Corrolla Altis,2019,60000.0,473000,Gasolina,Original,Nacional,Automatic,5,2,Luxo,Luxo,681403.3241134752
Suzuki,Wagon R,2016,200000.0,197500,Gasolina,Original,Nacional,Manual,4,7,Econômico,Econômico,149497.18328086744
Toyota,Corrolla Altis,2018,67500.0,429900,Gasolina,Original,Nacional,Automatic,5,3,Luxo,Luxo,681403.3241134752
Suzuki,Swift,2018,62000.0,242500,Gasolina,Original,Nacional,Automatic,5,3,Intermediário,Intermediário,245657.07356430945
Toyota,Passo,2008,120000.0,177000,Gasolina,Original,Importado,Automatic,2,4,Econômico,Econômico,149497.18328086744
Honda,Civic Oriel,2005,2040.0,165000,Gasolina,Original,Importado,Manual,2,1,Econômico,Econômico,149497.18328086744
Suzuki,Alto,2004,150000.0,700000,Gasolina,Original,Nacional,Manual,1,5,Luxo,Luxo,681403.3241134752
Suzuki,Baleno,2001,200000.0,800000,Gasolina,Original,Nacional,Manual,1,7,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2022,25000.0,245000,Gasolina,Original,Nacional,Manual,6,1,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla XLI,2010,255000.0,200000,Gasolina,Original,Nacional,Manual,3,10,Econômico,Econômico,149497.18328086744
Toyota,Passo,2012,84000.0,240000,Gasolina,Original,Importado,Automatic,3,3,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla XLI,2009,151000.0,178000,Gasolina,Original,Nacional,Manual,3,6,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2006,100000.0,600000,Gasolina,Original,Nacional,Manual,2,4,Luxo,Luxo,681403.3241134752
Hyundai,Santro,2007,190000.0,105000,Gasolina,Original,Nacional,Manual,2,7,Econômico,Econômico,149497.18328086744
Honda,City Aspire,2015,70000.0,279500,Gasolina,Original,Nacional,Manual,4,3,Intermediário,Intermediário,245657.07356430945
Honda,City IVTEC,2016,74000.0,343000,Gasolina,Original,Nacional,Manual,4,3,Premium,Intermediário,245657.07356430945
Hyundai,Santro,2003,96800.0,780000,Gasolina,Original,Nacional,Manual,1,4,Luxo,Luxo,681403.3241134752
Daihatsu,Mira,2015,78000.0,237500,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
FAW,X-PV,2018,80000.0,105000,Gasolina,Original,Nacional,Manual,5,3,Econômico,Luxo,681403.3241134752
Toyota,Yaris,2021,28000.0,435000,Gasolina,Original,Nacional,Automatic,6,1,Luxo,Luxo,681403.3241134752
Suzuki,Every,2016,65000.0,238000,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
Toyota,Corrolla Altis,2018,200000.0,450000,Gasolina,Original,Nacional,Automatic,5,7,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2023,20000.0,286500,Gasolina,Original,Nacional,Automatic,6,1,Intermediário,Intermediário,245657.07356430945
Changan,Karvaan,2021,2385.0,270000,Gasolina,Original,Nacional,Manual,6,1,Intermediário,Intermediário,245657.07356430945
Suzuki,Every,2014,150000.0,185000,Gasolina,Original,Importado,Automatic,4,5,Econômico,Econômico,149497.18328086744
Honda,City IVTEC,2018,43000.0,367000,Gasolina,Original,Nacional,Automatic,5,2,Premium,Premium,350855.0221465077
Daihatsu,Terios Kid,2011,250000.0,400000,Gasolina,Original,Importado,Automatic,3,10,Premium,Premium,350855.0221465077
Daihatsu,Move,2014,109000.0,189000,Gasolina,Original,Importado,Automatic,4,4,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2010,78300.0,795000,Gasolina,Original,Nacional,Manual,3,3,Luxo,Luxo,681403.3241134752
Hyundai,Santro,2008,140000.0,108000,Gasolina,Original,Importado,Manual,2,5,Econômico,Econômico,149497.18328086744
Suzuki,Swift,2023,23000.0,478000,Gasolina,Original,Nacional,Automatic,6,1,Luxo,Luxo,681403.3241134752
Honda,Civic Oriel,2009,215000.0,188000,Gasolina,Original,Nacional,Manual,3,8,Econômico,Econômico,149497.18328086744
Suzuki,Every,2007,145000.0,102500,Gasolina,Original,Importado,Automatic,2,5,Econômico,Econômico,149497.18328086744
Daihatsu,Cuore,2009,85000.0,780000,Gasolina,Original,Nacional,Manual,3,3,Luxo,Luxo,681403.3241134752
Suzuki,Bolan,2015,64000.0,150000,Gasolina,Original,Nacional,Manual,4,3,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2000,12345.0,650000,Gasolina,Original,Importado,Manual,1,1,Luxo,Luxo,681403.3241134752
Honda,City Aspire,2002,102700.0,840000,Gasolina,Original,Nacional,Automatic,1,4,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2003,150000.0,135000,Gasolina,Original,Nacional,Automatic,1,5,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2006,150000.0,980000,Gasolina,Original,Nacional,Manual,2,5,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2020,35000.0,249500,Gasolina,Original,Nacional,Automatic,5,2,Intermediário,Intermediário,245657.07356430945
Suzuki,Mehran VXR,2004,15000.0,460000,Gasolina,Original,Importado,Manual,1,1,Luxo,Luxo,681403.3241134752
Suzuki,Baleno,2000,35790.0,699999,Gasolina,Original,Importado,Manual,1,2,Luxo,Luxo,681403.3241134752
Honda,City IDSI,2007,184512.0,183000,Gasolina,Original,Nacional,Manual,2,7,Econômico,Econômico,149497.18328086744
Honda,City Vario,2006,85000.0,174000,Gasolina,Original,Importado,Automatic,2,3,Econômico,Econômico,149497.18328086744
Toyota,Corolla GLI,2018,180000.0,390000,Gasolina,Original,Nacional,Automatic,5,6,Premium,Premium,350855.0221465077
Suzuki,Cultus VXR,2005,65000.0,700000,Gasolina,Original,Nacional,Manual,2,3,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2004,168000.0,630000,Gasolina,Original,Nacional,Manual,1,6,Luxo,Luxo,681403.3241134752
Toyota,Corolla XLI,2012,150000.0,219900,Gasolina,Original,Nacional,Manual,3,5,Intermediário,Intermediário,245657.07356430945
Suzuki,Baleno,2002,189000.0,830000,Gasolina,Original,Nacional,Manual,1,7,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2005,90000.0,650000,Gasolina,Original,Nacional,Manual,2,3,Luxo,Luxo,681403.3241134752
Honda,Civic Prosmetic,2011,120000.0,273000,Gasolina,Original,Nacional,Automatic,3,4,Intermediário,Intermediário,245657.07356430945
Suzuki,Mehran VXR,2019,70000.0,140000,Gasolina,Original,Importado,Automatic,5,3,Econômico,Econômico,149497.18328086744
Suzuki,Wagon R,2018,150000.0,185000,Gasolina,Original,Nacional,Manual,5,5,Econômico,Econômico,149497.18328086744
Suzuki,Bolan,2006,52452.0,780000,GNV,Original,Nacional,Manual,2,2,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2022,65000.0,295000,Gasolina,Original,Nacional,Automatic,6,3,Intermediário,Intermediário,245657.07356430945
Honda,City Vario,2006,86700.0,132500,Gasolina,Original,Importado,Automatic,2,3,Econômico,Econômico,149497.18328086744
Suzuki,Bolan,2015,57000.0,850000,Gasolina,Original,Nacional,Manual,4,2,Luxo,Luxo,681403.3241134752
Daihatsu,Mira,2014,140000.0,245000,Gasolina,Original,Importado,Automatic,4,5,Intermediário,Intermediário,245657.07356430945
Suzuki,Bolan,2011,56756.0,890000,Gasolina,Original,Importado,Manual,3,2,Luxo,Luxo,681403.3241134752
KIA,Picanto,2022,14500.0,328000,Gasolina,Original,Nacional,Automatic,6,1,Premium,Premium,350855.0221465077
Toyota,Corolla GLI,2013,100000.0,325000,Gasolina,Original,Nacional,Automatic,4,4,Premium,Premium,350855.0221465077
Suzuki,Wagon R,2022,18000.0,315000,Gasolina,Original,Nacional,Automatic,6,1,Premium,Premium,350855.0221465077
Chevrolet,Joy,2006,1786.0,700000,Gasolina,Original,Nacional,Manual,2,1,Luxo,Luxo,681403.3241134752
Toyota,Yaris,2021,13000.0,455000,Gasolina,Original,Nacional,Automatic,6,1,Luxo,Luxo,681403.3241134752
Toyota,Corolla GLI,2004,203000.0,138000,Gasolina,Original,Nacional,Manual,1,7,Econômico,Econômico,149497.18328086744
Mercedes,E Class,2000,196000.0,240000,Gasolina,Original,Importado,Automatic,1,7,Intermediário,Intermediário,245657.07356430945
Suzuki,Mehran VXR,2004,125000.0,525000,Gasolina,Original,Nacional,Manual,1,5,Luxo,Luxo,681403.3241134752
Honda,City IVTEC,2018,85000.0,365000,Gasolina,Original,Nacional,Manual,5,3,Premium,Premium,350855.0221465077
Toyota,Corolla GLI,2019,43000.0,415000,Gasolina,Original,Nacional,Automatic,5,2,Luxo,Luxo,681403.3241134752
Suzuki,Mehran VXR,2002,40757.0,500000,Gasolina,Original,Nacional,Manual,1,2,Luxo,Luxo,681403.3241134752
Hyundai,Santro,2007,78000.0,117500,Gasolina,Original,Importado,Manual,2,3,Econômico,Econômico,149497.18328086744
Suzuki,Swift,2017,73000.0,225000,Gasolina,Original,Nacional,Manual,5,3,Intermediário,Intermediário,245657.07356430945
Honda,Civic Prosmetic,2014,135000.0,328500,Gasolina,Original,Nacional,Automatic,4,5,Premium,Premium,350855.0221465077
Daihatsu,Mira,2013,80000.0,225000,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
KIA,Picanto,2021,45000.0,220000,Gasolina,Original,Nacional,Manual,6,2,Intermediário,Intermediário,245657.07356430945
Suzuki,Every,2019,127000.0,159500,Gasolina,Original,Importado,Automatic,5,5,Econômico,Econômico,149497.18328086744
Suzuki,Mehran VXR,2017,159000.0,137500,Gasolina,Original,Nacional,Manual,5,6,Econômico,Econômico,149497.18328086744
KIA,Classic,2005,135000.0,680000,Gasolina,Original,Importado,Manual,2,5,Luxo,Luxo,681403.3241134752
Suzuki,Alto,2022,15000.0,285000,Gasolina,Original,Nacional,Automatic,6,1,Intermediário,Intermediário,245657.07356430945
Toyota,Corolla GLI,2015,79000.0,337500,Gasolina,Original,Nacional,Manual,4,3,Premium,Premium,350855.0221465077
Hyundai,Santro,2009,100000.0,140000,Gasolina,Duplicate,Nacional,Manual,3,4,Econômico,Econômico,149497.18328086744
Daihatsu,Move,2012,123456.0,189500,Gasolina,Original,Importado,Automatic,3,5,Econômico,Econômico,149497.18328086744
Toyota,Corolla XLI,2013,219555.0,250000,Gasolina,Original,Importado,Manual,4,8,Intermediário,Intermediário,245657.07356430945
Suzuki,Ravi,2019,92250.0,125000,Gasolina,Original,Importado,Manual,5,4,Econômico,Econômico,149497.18328086744
Daihatsu,Hijet,2016,89000.0,140000,Gasolina,Original,Importado,Automatic,4,3,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2006,188000.0,865000,Gasolina,Original,Nacional,Manual,2,7,Luxo,Luxo,681403.3241134752
